X,Y,neighborhood_id,neighborhood_name,device_serial,device_connectedto,device_address,device_lat,device_long,device_tags,etl_updatedtimestamp,is_current,org1,org2,inside_outside,landmark,ObjectId
-7913307.48293078,5209515.15517897,N_568579452955527921,Parks,Q2AK-ZBZB-FW8M,PARKS-FRANKLIN-AP1,"1 Circuit Dr., Roxbury, MA",42.3231886637714,-71.086450598541, Franklin-Park Outside ,2022/11/18 09:55:56+00,1,,,Outside,Franklin Park,142
-7913307.48293078,5209515.15517897,N_568579452955527921,Parks,Q2DD-4KWV-JRMB,PARKS-FRANKLIN-AP2,"1 Circuit Dr., Roxbury, MA",42.3231886637714,-71.086450598541, Franklin-Park Outside ,2022/11/18 09:55:56+00,1,,,Outside,Franklin Park,143
-7910789.06630099,5214371.55607318,N_568579452955527921,Parks,Q2EK-WDLM-65C6,PARKS-COMMONEAST-AP4 ,"139 Tremont St, Boston, MA 02111",42.3554355018542,-71.0638272770378, Boston-Common ,2022/11/18 09:55:56+00,1,,,,Boston Common,144
-7916761.50238065,5208414.63544093,N_568579452955527921,Parks,Q2CK-7CSR-NUQK,PARKS-JAMAICAPOND-AP2,"507 Jamaicaway, Jamaica Plain, MA - bandstand",42.3158788382307,-71.1174785831756, Jamaica-Pond Outside ,2022/11/18 09:55:56+00,1,,,Outside,Jamaica Pond,145
-7916761.50238065,5208414.63544093,N_568579452955527921,Parks,Q2CK-7ANU-RF72,PARKS-JAMAICAPOND-AP1,"507 Jamaicaway, Jamaica Plain, MA - boat house",42.3158788382307,-71.1174785831756, Jamaica-Pond Outside ,2022/11/18 09:55:56+00,1,,,Outside,Jamaica Pond,146
-7909161.2597157,5205153.48399183,N_568579452955534204,Dorchester,Q2CK-S8TK-5BFB,DOT-MURPHY-AP1,"1 Worrell St, Dorchester, MA 02122",42.2942127699993,-71.0492044416863, BPS Murphy-School Outside ,2022/11/18 09:55:57+00,1,BPS,,Outside,Murphy School,147
-7911607.53118285,5205990.83337966,N_568579452955534204,Dorchester,Q2CK-CJQV-TSTH,DOT-MARSHALL-AP2,"35 Westville St., Dorchester, MA",42.2997765683813,-71.0711796721667, BPS Marshall-School Outside UP-Academy ,2022/11/18 09:55:57+00,1,BPS,,Outside,Marshall School UP Academy,148
-7909161.2597157,5205153.48399183,N_568579452955534204,Dorchester,Q2CK-FZJ6-67HG,DOT-MURPHY-AP2,"1 worrell st Dorchester, ma",42.2942127699993,-71.0492044416863, BCYF-Grant BPS Murphy-School Outside ,2022/11/18 09:55:57+00,1,,,Outside,Murphy School,149
-7910651.00511018,5207219.57030512,N_568579452955534204,Dorchester,Q2CK-F72Z-RK25,DOT-MATHER-AP1,"1 Parish St., Dorchester, MA",42.3079400655335,-71.0625870522593, BPS Mather-School Outside ,2022/11/18 09:55:57+00,1,BPS,,Outside,Mather School,150
-7911905.79471037,5206870.06566328,N_568579452955534204,Dorchester,Q2CK-GMBW-WDLD,DOT-HOLLAND-AP1,"85 Olney St., Dorchester, MA",42.3056181301162,-71.0738590190213, BCYF Holland-Comm-Center Outside ,2022/11/18 09:55:57+00,1,BCYF,,Outside,Holland Comm Center,151
-7911206.88338086,5208249.01136844,N_568579452955534204,Dorchester,Q2CK-CRWS-U8UK,DOT-BPL-AP1,"500 Columbia Rd., Dorchester, MA",42.3147786635241,-71.0675805917259, BPL Outside Uphams-Corner-Branch ,2022/11/18 09:55:57+00,1,BPL,,Outside,Uphams Corner Branch,152
-7910560.10607368,5206144.54977923,N_568579452955534204,Dorchester,Q2CK-L5SX-NBNQ,DOT-CLEVELAND-AP1,"11 Charles St, Dorchester",42.3007978891716,-71.0617704923213, recently-added ,2022/11/18 09:55:57+00,1,,,,,153
-7918838.05951106,5214129.05470372,N_568579452955538703,Alston Brighton,Q2CK-LVPP-KFQ4,AB-BFDE41-AP1,"460 Cambridge St

Boston, MA 02134",42.3538256682487,-71.1361326132616, recently-added ,2022/11/18 09:56:01+00,1,,,,,154
-7910789.06630099,5214371.55607318,N_568579452955527921,Parks,Q2CK-MP93-YDN3,PARKS-COMMONEAST-AP1,"139 Tremont St, Boston, MA 02111",42.3554355018542,-71.0638272770378, Boston-Common ,2022/11/18 09:55:56+00,1,,,,Boston Common,155
-7912997.17250358,5210563.16541154,N_601230550253961809,Bolling,Q2FD-VT33-84WZ,BOL-ROOFDECK-AP1,"2300 Washington St., Roxbury 02119",42.3301489235268,-71.0836630325452, Bolling Inside ,2022/11/18 09:56:10+00,1,,,Inside,Bolling,156
-7910170.50504409,5215104.91233797,N_601230550253962397,Main Streets Staging,Q2CK-J8SH-SJKJ,,"1 city hall plaza, boston",42.3603036010139,-71.0582706467254, recently-added ,2022/11/18 09:56:16+00,1,,,,,157
-7912222.88106393,5210060.51558676,N_579275502070532581,Roxbury,Q2CK-NEZE-VRYJ,ROX-VINE-AP3,"339 Dudley St, Roxbury",42.3268107188774,-71.0767074541993, recently-added ,2022/11/18 09:56:02+00,1,,,,,158
